timestamp,satellite,azimuth_deg,elevation_deg,distance_km,relative_velocity_kms,doppler_shift_hz,tx_freq_ghz,rx_freq_hz,ue_lat,ue_lon,ue_alt_m,time_minutes
2026-02-06T21:29:41+00:00,SAT-58402,206.1821016581089,31.407314338137986,980.9154637386031,-0.865000172648599,30295.9649932564,10.5,10500030295.964993,47.655,-122.3035,60.0,6.566666666666666
2026-02-06T21:29:42+00:00,SAT-58402,205.69362116101834,31.446954783933805,980.052782512047,-0.8165643691960455,28599.538273102513,10.5,10500028599.538273,47.655,-122.3035,60.0,6.583333333333333
2026-02-06T21:29:43+00:00,SAT-58402,205.20389403713824,31.48443368642486,979.2384072392389,-0.7680068262729777,26898.847721733764,10.5,10500026898.847721,47.655,-122.3035,60.0,6.6
2026-02-06T21:29:44+00:00,SAT-58402,204.71298750650615,31.519733100862727,978.4724593332821,-0.7193344205639808,25194.13418973268,10.5,10500025194.13419,47.655,-122.3035,60.0,6.616666666666666
2026-02-06T21:29:45+00:00,SAT-58402,204.22096980557208,31.552836033684823,977.7550533490315,-0.6705541097413829,23485.641364215106,10.5,10500023485.641365,47.655,-122.3035,60.0,6.633333333333334
2026-02-06T21:29:46+00:00,SAT-58402,203.72791013659995,31.58372646618525,977.0862969023221,-0.6216729322080948,21773.615759823406,10.5,10500021773.615759,47.655,-122.3035,60.0,6.65
2026-02-06T21:29:47+00:00,SAT-58402,203.23387861304468,31.61238937719233,976.4662905894544,-0.5726980042645398,20058.30661950031,10.5,10500020058.30662,47.655,-122.3035,60.0,6.666666666666667
2026-02-06T21:29:48+00:00,SAT-58402,202.73894620089993,31.63881076458625,975.8951279095071,-0.5236365064728625,18339.965436905877,10.5,10500018339.965437,47.655,-122.3035,60.0,6.683333333333334
2026-02-06T21:29:49+00:00,SAT-58402,202.24318466428394,31.66297766509611,975.372895200246,-0.47449568560290256,16618.846024573697,10.5,10500016618.846025,47.655,-122.3035,60.0,6.7
2026-02-06T21:29:50+00:00,SAT-58402,201.74666650489323,31.68487817304862,974.8996715720958,-0.4252828486305004,14895.204303706183,10.5,10500014895.204304,47.655,-122.3035,60.0,6.716666666666667
2026-02-06T21:29:51+00:00,SAT-58402,201.24946489990353,31.704501457655258,974.4755288480934,-0.37600535521736933,13169.298040787866,10.5,10500013169.29804,47.655,-122.3035,60.0,6.733333333333333
2026-02-06T21:29:52+00:00,SAT-58402,200.75165364051955,31.72183777871557,974.1005315113446,-0.32667061660355745,11441.386808794747,10.5,10500011441.386808,47.655,-122.3035,60.0,6.75
2026-02-06T21:29:53+00:00,SAT-58402,200.25330706440286,31.736878501001012,973.7747366535837,-0.27728608263793353,9711.731532947044,10.5,10500009711.731533,47.655,-122.3035,60.0,6.766666666666667
2026-02-06T21:29:54+00:00,SAT-58402,199.7544999958722,31.749616106725693,973.4981939366678,-0.2278592445920726,7980.594589263357,10.5,10500007980.59459,47.655,-122.3035,60.0,6.783333333333333
2026-02-06T21:29:55+00:00,SAT-58402,199.2553076744166,31.76004420680366,973.270945551266,-0.1783976233822628,6248.239392045545,10.5,10500006248.239391,47.655,-122.3035,60.0,6.8
